whole,part,adj,impossible,unlikely,unrelated,probably,guaranteed,part-whole-nonsense,whole-adj-nonsense,word-nonsense
vehicle,light,silver,1,0,2,0,0,0,0,0
vehicle,light,primary,1,0,0,0,1,0,1,0
vehicle,light,important,0,0,1,1,1,0,0,0
vehicle,light,electric,0,0,1,1,1,0,0,0
vehicle,light,suitable,0,0,1,2,0,0,0,0
vehicle,light,yellow,0,0,3,0,0,0,0,0
he,glass,brown,0,1,2,0,0,0,0,0
beak,tip,hooked,0,0,0,3,0,0,0,0
beak,tip,curved,0,0,0,3,0,0,0,0
beak,tip,long,1,0,1,1,0,0,0,0
beak,tip,sharp,0,0,0,0,3,0,0,0
beak,tip,open,1,0,0,0,2,0,0,0
beak,tip,orange,0,1,0,2,0,0,0,0
swan,head,wild,0,0,1,0,2,0,0,0
swan,head,beautiful,0,0,0,3,0,0,0,0
swan,head,white,0,1,2,0,0,0,0,0
tree,bark,green,0,2,1,0,0,0,0,0
tree,bark,hollow,1,1,1,0,0,0,0,0
tree,bark,old,0,0,0,0,3,0,0,0
tree,bark,tall,1,0,1,1,0,0,0,0
cup,stem,empty,0,0,2,0,1,0,0,0
cup,stem,silver,0,0,2,1,0,0,0,0
cup,stem,plastic,0,0,0,2,1,0,0,0
cup,stem,hot,0,1,0,1,0,0,1,0
cup,stem,blue,0,0,1,1,0,0,1,0
elephant,skin,gold,0,1,0,0,2,0,0,0
elephant,skin,young,0,0,0,0,3,0,0,0
elephant,skin,grey,0,0,0,0,3,0,0,0
elephant,skin,wild,1,0,0,1,0,1,0,0
airport,airplane,commercial,0,0,2,1,0,0,0,0
airport,airplane,long,0,1,2,0,0,0,0,0
engine,door,powerful,0,0,3,0,0,0,0,0
engine,door,old,0,0,1,2,0,0,0,0
engine,door,internal,3,0,0,0,0,0,0,0
engine,door,stationary,0,0,0,2,1,0,0,0
engine,door,blue,0,0,2,1,0,0,0,0
bear,hump,white,0,0,1,2,0,0,0,0
she,hair,her,1,0,0,0,1,0,1,0
she,hair,beautiful,0,0,1,1,1,0,0,0
laptop,speaker,typical,1,0,1,0,1,0,0,0
laptop,speaker,old,0,0,2,1,0,0,0,0
laptop,speaker,wireless,0,2,1,0,0,0,0,0
laptop,speaker,open,2,0,1,0,0,0,0,0
laptop,speaker,black,0,0,2,1,0,0,0,0
toy,ear,classic,0,0,1,1,1,0,0,0
toy,ear,mechanical,0,0,2,0,1,0,0,0
toy,ear,pretty,0,0,1,1,1,0,0,0
toy,ear,rabbit,0,0,0,1,2,0,0,0
toy,ear,broken,0,1,2,0,0,0,0,0
woman,lip,poor,2,0,0,0,1,0,0,0
woman,lip,beautiful,0,0,1,1,1,0,0,0
tree,leave,green,0,0,1,1,0,1,0,0
tree,leave,old,1,0,0,1,0,0,0,1
poster,writing,original,0,0,2,0,1,0,0,0
poster,writing,informational,0,0,0,2,1,0,0,0
poster,writing,political,0,0,2,0,1,0,0,0
poster,writing,white,2,1,0,0,0,0,0,0
jacket,lining,white,0,0,2,0,0,0,0,0
giraffe,back,young,0,0,0,0,3,0,0,0
giraffe,back,brown,0,0,1,2,0,0,0,0
giraffe,back,tall,0,1,0,1,1,0,0,0
jet,tip,black,0,0,2,1,0,0,0,0
jet,tip,private,2,0,0,0,1,0,0,0
jet,tip,free,1,0,0,0,1,0,1,0
bear,shirt,stuffed,0,1,2,0,0,0,0,0
bear,shirt,white,0,0,2,1,0,0,0,0
cow,chain,old,1,0,2,0,0,0,0,0
cow,chain,dead,3,0,0,0,0,0,0,0
cow,chain,white,0,3,0,0,0,0,0,0
