title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1ZRV,shirt,text,white,impossible,AK1PO3OD2HKP5,unlikely,A1A3CN8H5HXTSN,unlikely,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1ZRV,shirt,text,clean,probably,AK1PO3OD2HKP5,guaranteed,A1A3CN8H5HXTSN,guaranteed,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3ODOP6T3ARJBC4VDCL1LCJSZVVJ42A,lady,scarf,beautiful,unrelated,AZAPOAN6T6QFW,unrelated,A30NX5HEQGGFPP,unrelated,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,old,probably,A3265QTYKPZMC6,probably,A1VNV1899K7L05,probably,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,locked,guaranteed,A3265QTYKPZMC6,probably,A1VNV1899K7L05,guaranteed,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,white,unrelated,A3265QTYKPZMC6,probably,A1VNV1899K7L05,probably,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,empty,pjj-nonsense,A3265QTYKPZMC6,impossible,A1VNV1899K7L05,pjj-nonsense,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,open,guaranteed,A3265QTYKPZMC6,guaranteed,A1VNV1899K7L05,guaranteed,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,closed,guaranteed,A3265QTYKPZMC6,guaranteed,A1VNV1899K7L05,guaranteed,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3TTPFEFXCSJT6H29EUX7WLIFG576HF,cupboard,door,dark,probably,A3265QTYKPZMC6,probably,A1VNV1899K7L05,probably,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3UY4PIS8QQKQ9RNNBMG369OUU601NL,planter,flower,rich,pjj-nonsense,A3265QTYKPZMC6,pjj-nonsense,ASW9MABLSXSPK,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3UY4PIS8QQKQ9RNNBMG369OUU601NL,planter,flower,white,unrelated,A3265QTYKPZMC6,unrelated,ASW9MABLSXSPK,unlikely,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3UY4PIS8QQKQ9RNNBMG369OUU601NL,planter,flower,old,unlikely,A3265QTYKPZMC6,unlikely,ASW9MABLSXSPK,unlikely,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,372AGES0I34JEQ08BMIRA2X50I3RXQ,vase,bird,black,unrelated,A25UZQENK9A4PL,unlikely,A1CQPRZUT6BW44,unrelated,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,372AGES0I34JEQ08BMIRA2X50I3RXQ,vase,bird,golden,unrelated,A25UZQENK9A4PL,unrelated,A1CQPRZUT6BW44,unrelated,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,372AGES0I34JEQ08BMIRA2X50I3RXQ,vase,bird,crystal,unrelated,A25UZQENK9A4PL,unrelated,A1CQPRZUT6BW44,probably,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,372AGES0I34JEQ08BMIRA2X50I3RXQ,vase,bird,broken,probably,A25UZQENK9A4PL,unrelated,A1CQPRZUT6BW44,probably,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3PKVGQTFIGJ8EVQIGI4TTG4E2OXRYW,car,rear,red,probably,ASW9MABLSXSPK,guaranteed,A25UZQENK9A4PL,probably,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3PKVGQTFIGJ8EVQIGI4TTG4E2OXRYW,car,rear,open,unlikely,ASW9MABLSXSPK,unrelated,A25UZQENK9A4PL,unrelated,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,old,unrelated,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unrelated,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,long,unrelated,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unrelated,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,empty,unrelated,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unrelated,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,open,unlikely,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unrelated,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,clean,unrelated,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unrelated,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,371Q3BEXDG8KK000RT6HXXICUKKZSJ,road,bus,narrow,unrelated,A17FGZ1I5P9RZA,unrelated,A2VFH95BVFIU5K,unlikely,ASW9MABLSXSPK
