title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3,result4,worker4,result5,worker5
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3T2HW4QDUV7YPL1HSPQ5M9WD27RC9N,teddy bear,ear,white,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,guaranteed,A2KMSW4Y4WZCIF,probably,A1TLKBW8KT7L6F,probably,A3QQ2JW1N0Z49X
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TC2K6WK9G2LDYQ5Q4VLA0SG6AW28F,oven,control,slow,probably,A33KNBN0D47PN3,unlikely,A2C6HMH2FDM2CI,guaranteed,A2VFH95BVFIU5K,impossible,A1BCXM3RDGUYA8,unrelated,A2H91DERNK3CAL
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TC2K6WK9G2LDYQ5Q4VLA0SG6AW28F,oven,control,moderate,probably,A33KNBN0D47PN3,unlikely,A2C6HMH2FDM2CI,guaranteed,A2VFH95BVFIU5K,impossible,A1BCXM3RDGUYA8,unrelated,A2H91DERNK3CAL
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TC2K6WK9G2LDYQ5Q4VLA0SG6AW28F,oven,control,black,unlikely,A33KNBN0D47PN3,unrelated,A2C6HMH2FDM2CI,probably,A2VFH95BVFIU5K,unrelated,A1BCXM3RDGUYA8,probably,A2H91DERNK3CAL
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3LXX8KJXPW9ZYAYKIUZWH9QURLA9OH,sedan,wheel,dark,unrelated,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,unrelated,A2VFH95BVFIU5K,unrelated,A2C6HMH2FDM2CI
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3LXX8KJXPW9ZYAYKIUZWH9QURLA9OH,sedan,wheel,white,unlikely,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,unrelated,A2VFH95BVFIU5K,unrelated,A2C6HMH2FDM2CI
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3CESM1J3EI3KL05OB9NUETCE4M16WF,field,shrub,overgrown,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,probably,A1TLKBW8KT7L6F,guaranteed,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3CESM1J3EI3KL05OB9NUETCE4M16WF,field,shrub,open,unrelated,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,impossible,A1BCXM3RDGUYA8,impossible,A1TLKBW8KT7L6F,guaranteed,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,367O8HRHKG8DZWK18GKEK6PF2IYS40,jet,wheel,black,unrelated,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,unlikely,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,unrelated,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,367O8HRHKG8DZWK18GKEK6PF2IYS40,jet,wheel,free,wjj-nonsense,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,wjj-nonsense,A2C6HMH2FDM2CI,impossible,A1BCXM3RDGUYA8,unlikely,A1TLKBW8KT7L6F
