url,HITId
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3NI0WFPPI9GRDA43I2PZDGJCH0X605
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3H1C3QRA01JFKHSY001HK5DQ7NICEP
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3ZXV7Q5FJBO7QVSUVBLN2NYQJOXCF7
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3UZUVSO3P7VST34PDPVVN1I211MEM9
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3VGZ74AYTGGD4VOP6VR5K8Y2K3XCG6
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3M4KL7H8KVNRKZPLELTZRL2MMS3618
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3P7RGTLO6EDUD2NAC8GTC507RHTAK5
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3UQ1LLR26A85X85SX8SUR5DMGHYAL8
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3D06DR5225JP3QNDXKT9RISBGMOAMA
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3EKZL9T8Y8MR4RJ0Q19N58A3Z3AHCA
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,386T3MLZLNVEHONRBHMXXUF3NVN80T
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,3EKZL9T8Y8MR4RJ0Q19N58A3Z3ACH5
https://workersandbox.mturk.com/mturk/preview?groupId=3K3X4GGOSLNE15IN040A8W4KLRVMCR,37SDSEDIN92EOD8970QXBZYDSNT81W
