url,HITId,whole,part,jj
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3G57RS03HH52QG73S6J84YYRI37256,telephone,pole,public
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3CESM1J3EI3KL05OB9IKKBSGI5D6W8,telephone,cord,mobile
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3MA5N0ATTCBRKFQDDDCLUUXYJ0WWK2,telephone,cord,cellular
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3RTFSSG7T8624L8VYDOM9UAD801WL5,telephone,pole,wireless
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,38O9DZ0A62NY9K7HXPTDW4CREYI26M,telephone,cord,long
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,391FPZIE4CMNQL00CSUNZEW963HUHX,telephone,mouthpiece,long
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3WKGUBL7SZMQVJPBO7I3E2RMO734LS,telephone,cord,black
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3FULMHZ7OUXA117WOJJIEF6BOCT4MU,telephone,mouthpiece,black
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3D1TUISJWI0NMGBKIAC8ZQXO6GWUIQ,telephone,cord,pink
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3RQVKZ7ZRKJHDKLMGZY52ICN99227L,rope,bar,long
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3IWA71V4TIGZA0AELEE6MU6NR7J6X1,rope,bar,strong
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3DFYDSXB2W0JHRVQ0SX8BRCOJVLUJ2,rope,bar,tight
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3PZDSVZ3J5HGJJSW0KYIRUVBT234NU,rope,bar,thick
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3URJ6VVYUPNY14S81ZYV6JVGJC84O9,rope,bar,old
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3QGTX7BCHP2SWRAFHDSMR98Y3C5Z5A,rope,bar,blue
https://workersandbox.mturk.com/mturk/preview?groupId=3KAZLCS3E8CWTTI286WBJ58RQTJPAM,3RKHNXPHGWWESB18IDXKC6C1YKLUK1,rope,bar,striped
